T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	T
T	S	T
T	S	H
T	S	H
T	S	H
T	S	T
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	T
T	S	H
T	S	T
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
T	S	H
T	S	T
T	S	H
